book_id,title,author,genre,publication_year,total_copies,available_copies,isbn,publisher,book_category,language,shelf_location,created_at,updated_at
21,Journey to Innovation,James Mensah,Business,2024,30,21,314-1524292903,Hachette,Non-Fiction,French,H8-16,2019-01-11,2019-04-25
22,Beyond Knowledge,Michael Brown,Technology,2005,17,13,646-9733089873,Oxford Press,Non-Fiction,English,B2-7,2023-06-28,2024-04-13
23,Secrets of Innovation,Linda Martins,Biography,2018,39,25,420-9854030928,Macmillan,Non-Fiction,French,E5-19,2019-09-11,2020-02-05
24,Journey to Innovation,Amina Johnson,Science Fiction,2023,49,28,487-7597626970,HarperCollins,Fiction,French,G7-15,2018-12-16,2019-04-06
25,Fall of Shadow,Amina Mensah,Technology,2002,19,16,419-4576626741,Macmillan,Non-Fiction,Arabic,C3-9,2018-09-02,2019-01-11
26,Journey to Knowledge,Michael Okafor,Mystery,2009,35,9,550-2149024867,Hachette,Fiction,English,D4-17,2015-06-08,2015-12-13
27,Fall of Power,Linda Adeyemi,Biography,2015,5,4,444-1679901496,Hachette,Non-Fiction,Arabic,C3-11,2022-03-20,2022-04-14
28,The Innovation,Linda Bello,Thriller,2007,10,5,768-6731739163,Macmillan,Fiction,English,B2-15,2024-10-13,2025-03-07
29,Inside Dreams,John Williams,Self-Help,2012,22,5,174-9486845339,Penguin Random House,Non-Fiction,English,F6-8,2018-07-31,2018-12-31
30,Fall of Stars,David Adeyemi,Science Fiction,2020,12,8,476-6721690348,HarperCollins,Fiction,French,G7-19,2019-06-05,2019-10-21
31,Chronicles of Destiny,Amina Mensah,Biography,2002,11,6,606-7818867207,Pearson,Non-Fiction,French,A1-20,2022-04-10,2022-07-24
32,Return of Destiny,Linda Okafor,Business,2014,15,7,644-5002518902,Cambridge Press,Non-Fiction,Arabic,A1-19,2015-03-10,2015-05-02
33,Fall of Destiny,John Williams,Thriller,2016,10,5,460-4706848476,Penguin Random House,Fiction,Arabic,H8-6,2024-06-19,2024-07-16
34,Fall of Innovation,Linda Williams,Self-Help,1998,36,32,568-9493344962,HarperCollins,Non-Fiction,Swahili,F6-11,2017-08-12,2017-12-16
35,Chronicles of Empire,Michael Bello,Science Fiction,2004,48,12,751-5768459102,Oxford Press,Fiction,English,C3-13,2024-07-22,2025-01-07
36,Rise of Empire,Grace Bello,Romance,2004,10,8,652-8124977184,Cambridge Press,Fiction,Arabic,C3-14,2023-05-21,2023-08-30
37,The Dreams,James Williams,Science Fiction,2022,27,14,601-3567264229,Cambridge Press,Fiction,French,B2-14,2022-04-22,2022-05-27
38,Legacy of Power,Linda Mensah,History,2016,33,31,541-6529981363,Hachette,Non-Fiction,Swahili,H8-11,2024-08-17,2024-10-29
39,Rise of Stars,David Mensah,Fantasy,2007,50,49,773-5073221198,Pearson,Fiction,French,C3-15,2017-12-20,2018-03-13
40,Rise of Mind,Amina Martins,Self-Help,2005,22,4,844-2988064341,HarperCollins,Non-Fiction,English,F6-8,2017-07-18,2017-11-07
41,Legacy of Knowledge,Fatima Smith,Fantasy,2014,41,32,245-3900056949,Cambridge Press,Fiction,Arabic,F6-15,2020-08-21,2020-10-29
42,Secrets of Power,Grace Smith,Biography,2014,43,19,569-1395200780,Penguin Random House,Non-Fiction,English,C3-12,2017-01-29,2017-05-28
43,Journey to Stars,Fatima Johnson,Mystery,2020,17,11,189-2588362065,Macmillan,Fiction,English,G7-1,2018-09-14,2018-11-13
44,Secrets of Stars,James Garcia,Romance,2024,25,12,164-5660977865,Cambridge Press,Fiction,French,H8-4,2022-07-16,2022-11-19
45,Inside Dreams,Grace Garcia,Self-Help,2024,28,7,454-2591136838,Penguin Random House,Non-Fiction,English,G7-13,2023-02-02,2023-06-02
46,Return of Mind,Sophia Johnson,Fantasy,2006,32,10,537-1260088464,Hachette,Fiction,English,A1-15,2022-12-11,2023-05-13
47,Journey to Destiny,Sophia Okafor,Science Fiction,2011,19,10,352-2398542121,Penguin Random House,Fiction,Swahili,A1-7,2015-09-02,2015-12-13
48,Fall of Dreams,Michael Smith,Biography,2015,44,15,412-9448187154,HarperCollins,Non-Fiction,French,E5-11,2015-09-18,2015-10-13
49,Rise of Empire,Daniel Bello,Business,2002,7,6,896-1308780166,HarperCollins,Non-Fiction,Arabic,H8-14,2023-10-30,2024-05-20
50,The Empire,Amina Johnson,History,2008,42,42,458-2510983658,Hachette,Non-Fiction,French,G7-3,2021-05-19,2021-05-26
51,Secrets of Empire,Daniel Smith,Science Fiction,2005,23,12,237-5903970232,Penguin Random House,Fiction,Arabic,C3-8,2023-06-14,2024-03-16
52,Legacy of Empire,Sophia Adeyemi,Technology,2023,20,14,331-5218394459,Scholastic,Non-Fiction,English,B2-14,2019-12-09,2020-03-14
53,Legacy of Knowledge,John Okafor,Science Fiction,2016,30,23,794-9808346007,Pearson,Fiction,Swahili,D4-15,2020-06-01,2020-12-04
54,The Knowledge,David Garcia,Business,2007,20,12,413-7931865661,HarperCollins,Non-Fiction,Swahili,G7-10,2016-10-01,2017-01-17
55,Chronicles of Empire,Amina Garcia,History,2023,19,6,953-6752314339,Hachette,Non-Fiction,Arabic,H8-8,2023-03-24,2023-10-09
56,Legacy of Mind,Grace Mensah,Self-Help,2004,25,16,822-7505100356,Macmillan,Non-Fiction,Arabic,F6-16,2018-09-21,2019-07-01
57,Legacy of Power,James Williams,Mystery,2010,29,21,930-1118688281,Penguin Random House,Fiction,Arabic,H8-4,2016-11-26,2017-03-20
58,Return of Future,David Smith,Technology,2007,20,8,168-6399707303,Scholastic,Non-Fiction,Arabic,C3-13,2021-06-17,2021-08-14
59,Fall of Mind,Linda Bello,Self-Help,2005,47,12,137-3278393266,Scholastic,Non-Fiction,Arabic,F6-20,2018-12-07,2018-12-10
60,Chronicles of Power,David Bello,History,2017,31,11,558-4166098902,Penguin Random House,Non-Fiction,English,F6-18,2022-08-01,2022-12-28
61,Beyond Shadow,David Johnson,Fantasy,2002,41,24,334-5336500357,HarperCollins,Fiction,Arabic,F6-18,2016-10-05,2017-06-19
62,Secrets of Destiny,Sophia Bello,Fantasy,2018,14,4,827-7208988106,Macmillan,Fiction,Swahili,F6-7,2024-02-27,2024-04-16
63,The Mind,Fatima Garcia,Technology,2007,11,11,969-6951001423,Oxford Press,Non-Fiction,Arabic,H8-12,2018-08-01,2019-03-25
64,Fall of Knowledge,John Johnson,Thriller,2007,28,24,145-7757201358,Penguin Random House,Fiction,English,D4-16,2020-12-28,2021-08-10
65,The Stars,David Martins,Romance,1999,44,5,317-6233458238,Macmillan,Fiction,Swahili,H8-16,2015-10-06,2016-05-10
66,Legacy of Future,Amina Williams,Romance,1995,22,10,764-9113790125,Scholastic,Fiction,Swahili,D4-11,2023-03-04,2023-09-20
67,Fall of Stars,Michael Johnson,Technology,2001,21,10,123-8069113010,Penguin Random House,Non-Fiction,English,B2-10,2017-09-14,2018-06-16
68,Chronicles of Future,Fatima Garcia,Thriller,2007,7,6,616-3436334915,HarperCollins,Fiction,French,C3-4,2021-05-02,2021-11-14
69,Inside Shadow,David Williams,Romance,2011,8,8,696-8839334367,Hachette,Fiction,Arabic,H8-19,2022-05-10,2023-04-26
70,Fall of Stars,Linda Bello,Mystery,2011,38,20,839-8172905141,HarperCollins,Fiction,Swahili,H8-4,2023-06-03,2024-05-20
71,The Mind,Sophia Williams,Thriller,2000,18,18,207-5530479508,Macmillan,Fiction,French,C3-6,2024-10-13,2025-03-28
72,Return of Stars,John Smith,Romance,2000,20,4,502-5286652944,Hachette,Fiction,French,E5-18,2022-07-06,2022-08-30
73,Beyond Stars,Amina Bello,Biography,2007,20,5,859-2457155937,Cambridge Press,Non-Fiction,Swahili,E5-19,2024-08-02,2025-07-19
74,Legacy of Dreams,Grace Okafor,Technology,2022,17,17,947-4412278788,Pearson,Non-Fiction,French,B2-6,2024-09-28,2024-10-26
75,Chronicles of Empire,Linda Bello,Fantasy,2011,23,14,107-5690912281,Penguin Random House,Fiction,English,C3-19,2022-05-06,2022-05-24
76,Inside Empire,Grace Smith,Self-Help,2010,40,35,187-2019540629,Penguin Random House,Non-Fiction,Arabic,E5-14,2022-03-26,2022-12-26
77,Beyond Shadow,Sophia Garcia,History,1998,31,27,352-1774082844,Penguin Random House,Non-Fiction,French,D4-20,2019-06-22,2019-08-12
78,Return of Empire,Sophia Martins,Thriller,2011,42,16,419-9251947539,Scholastic,Fiction,Arabic,D4-11,2021-09-13,2022-06-29
79,Legacy of Stars,John Okafor,Business,2024,27,5,165-6008400122,Macmillan,Non-Fiction,Arabic,F6-3,2023-02-11,2023-03-12
80,Inside Dreams,Michael Smith,Self-Help,2000,44,15,177-5348396627,Penguin Random House,Non-Fiction,Swahili,F6-6,2023-11-23,2024-06-20
81,Journey to Knowledge,Fatima Adeyemi,Romance,2014,47,18,466-1403921975,Hachette,Fiction,Arabic,E5-9,2017-01-08,2017-07-07
82,Legacy of Empire,Daniel Smith,Romance,2012,15,14,644-7297261434,HarperCollins,Fiction,Swahili,F6-5,2023-09-14,2024-06-04
83,Fall of Shadow,Fatima Brown,Biography,2012,50,27,480-6820630126,Scholastic,Non-Fiction,Arabic,D4-19,2021-09-25,2022-09-13
84,Chronicles of Knowledge,James Garcia,History,1999,22,21,675-1459943740,Oxford Press,Non-Fiction,Arabic,G7-13,2023-06-29,2024-01-15
85,Return of Future,Sophia Okafor,Self-Help,2015,17,13,867-6109219341,Macmillan,Non-Fiction,Arabic,H8-12,2019-03-30,2019-12-02
86,The Dreams,Linda Garcia,Self-Help,1995,37,18,460-8566589967,Pearson,Non-Fiction,English,B2-14,2023-06-23,2023-09-12
87,Legacy of Empire,James Garcia,Technology,2015,24,10,160-1255840200,Pearson,Non-Fiction,English,A1-12,2019-03-21,2019-12-07
88,Journey to Shadow,John Garcia,Science Fiction,2017,24,14,325-9246939654,Oxford Press,Fiction,Arabic,C3-3,2023-07-27,2024-05-10
89,Secrets of Power,James Martins,Business,2010,40,6,349-9523099321,Penguin Random House,Non-Fiction,English,C3-17,2017-09-09,2018-04-04
90,Rise of Knowledge,John Bello,Thriller,1995,46,20,574-9495083170,Penguin Random House,Fiction,English,F6-13,2020-05-08,2020-07-12
91,Secrets of Innovation,Amina Garcia,Mystery,2007,25,13,617-9910937443,Cambridge Press,Fiction,Arabic,B2-17,2015-05-17,2016-05-10
92,Journey to Power,John Mensah,Science Fiction,2023,17,4,276-7764884715,Scholastic,Fiction,French,G7-17,2024-01-22,2024-10-25
93,Rise of Future,Daniel Mensah,Business,1996,9,5,290-5738571349,Cambridge Press,Non-Fiction,Arabic,C3-15,2019-03-19,2019-11-01
94,Chronicles of Mind,Daniel Smith,History,1996,9,4,325-5289404345,Macmillan,Non-Fiction,Swahili,C3-19,2023-04-11,2024-03-26
95,Return of Power,John Williams,Biography,2016,25,22,987-3438340859,Scholastic,Non-Fiction,Arabic,B2-17,2022-11-02,2023-05-27
96,The Innovation,Linda Adeyemi,Technology,2005,39,23,711-5195805200,Scholastic,Non-Fiction,Arabic,A1-19,2020-01-12,2020-08-03
97,Secrets of Innovation,Fatima Smith,History,1996,43,23,773-1823149385,Cambridge Press,Non-Fiction,Swahili,E5-2,2017-03-07,2017-06-23
98,Fall of Shadow,Sophia Okafor,Business,2008,28,7,148-8433422207,Cambridge Press,Non-Fiction,English,F6-1,2019-03-09,2019-05-13
99,Secrets of Stars,Linda Okafor,Business,2008,33,17,780-1436084616,HarperCollins,Non-Fiction,Arabic,A1-9,2022-05-28,2022-11-06
100,Journey to Dreams,Amina Brown,Technology,2021,17,9,672-5453133781,HarperCollins,Non-Fiction,French,F6-4,2016-09-22,2017-07-10
101,Return of Knowledge,James Brown,Technology,2004,11,4,979-6263852324,HarperCollins,Non-Fiction,French,C3-13,2017-03-19,2017-04-07
102,Journey to Power,Grace Adeyemi,Mystery,2009,40,4,500-9130704023,Hachette,Fiction,English,G7-2,2021-01-09,2021-11-12
103,Secrets of Future,Grace Adeyemi,Thriller,1997,29,25,736-1735157360,Macmillan,Fiction,Swahili,H8-7,2018-01-29,2018-06-24
104,Legacy of Future,Daniel Williams,Fantasy,1997,38,22,449-8643865142,Hachette,Fiction,English,G7-2,2019-01-17,2019-11-14
105,Legacy of Power,Fatima Johnson,Science Fiction,1996,9,4,241-8033549151,HarperCollins,Fiction,English,D4-11,2017-03-27,2017-12-25
106,Fall of Innovation,John Mensah,Biography,1997,14,14,959-1059744616,Penguin Random House,Non-Fiction,French,C3-15,2018-02-17,2018-07-27
107,Rise of Knowledge,James Brown,Business,2017,27,15,553-6782113499,Oxford Press,Non-Fiction,Arabic,H8-14,2019-05-12,2019-10-04
108,Rise of Empire,David Garcia,Thriller,2022,31,8,413-5379274413,Cambridge Press,Fiction,Swahili,D4-6,2024-10-07,2025-02-27
109,Fall of Future,Grace Martins,History,2010,32,12,848-5831206768,HarperCollins,Non-Fiction,Swahili,G7-5,2017-12-09,2018-08-23
110,Rise of Future,Linda Okafor,History,2007,49,31,197-2714495448,Scholastic,Non-Fiction,Swahili,B2-5,2020-02-02,2020-04-23
111,The Future,David Bello,Biography,2000,20,8,965-3859396025,Hachette,Non-Fiction,English,H8-9,2015-10-27,2015-12-31
112,Beyond Innovation,James Martins,Biography,1998,25,6,671-6807632614,Macmillan,Non-Fiction,Arabic,G7-8,2018-12-12,2019-10-14
113,Beyond Stars,Sophia Smith,Fantasy,2022,15,15,104-1590839259,Hachette,Fiction,English,A1-18,2022-04-07,2022-08-07
114,Chronicles of Mind,Michael Johnson,Romance,2010,17,12,953-1701930359,Pearson,Fiction,French,G7-12,2019-01-30,2019-06-13
115,Fall of Stars,John Johnson,Technology,2021,27,23,285-8904629394,Penguin Random House,Non-Fiction,Arabic,F6-13,2016-08-03,2016-09-21
116,Beyond Innovation,James Johnson,Thriller,2015,23,16,544-4126263512,Cambridge Press,Fiction,Arabic,F6-17,2020-06-14,2020-12-03
117,The Destiny,Sophia Smith,Science Fiction,2006,49,48,731-3887349427,Hachette,Fiction,French,G7-3,2020-02-24,2020-09-27
118,Legacy of Innovation,Sophia Okafor,Business,2004,23,10,668-7855333016,HarperCollins,Non-Fiction,Swahili,F6-1,2018-09-03,2019-07-11
119,Beyond Mind,Linda Brown,Fantasy,2008,23,9,124-1464168543,Macmillan,Fiction,French,B2-2,2018-04-01,2018-05-24
120,Secrets of Empire,Grace Smith,Thriller,1996,33,5,596-9298860561,HarperCollins,Fiction,Swahili,E5-9,2022-05-09,2022-08-30
121,Return of Dreams,David Mensah,Mystery,2003,10,5,704-6828717950,Oxford Press,Fiction,Swahili,A1-12,2016-04-23,2016-07-02
122,Fall of Stars,Daniel Garcia,Mystery,2019,29,20,232-2725234165,Cambridge Press,Fiction,Arabic,F6-7,2018-08-27,2018-12-11
123,Rise of Innovation,David Garcia,Mystery,2008,20,16,476-5033135338,Penguin Random House,Fiction,English,C3-18,2016-02-27,2016-04-01
124,Secrets of Knowledge,James Johnson,Technology,2004,39,6,686-7811508665,Oxford Press,Non-Fiction,Swahili,H8-17,2024-05-23,2024-10-08
125,The Shadow,Fatima Mensah,Science Fiction,2016,23,5,974-6437602354,Macmillan,Fiction,English,D4-8,2023-04-03,2023-10-11
126,Legacy of Future,David Adeyemi,Romance,2018,14,5,596-4475869315,Oxford Press,Fiction,French,D4-11,2016-03-16,2016-04-15
127,The Knowledge,James Brown,Biography,2020,14,4,407-2242547169,HarperCollins,Non-Fiction,Swahili,C3-7,2023-01-04,2023-02-14
128,Fall of Mind,Amina Adeyemi,Science Fiction,2017,20,20,834-4154727120,Oxford Press,Fiction,Swahili,E5-11,2015-01-04,2015-08-01
129,Chronicles of Knowledge,Fatima Mensah,Romance,2023,49,20,564-3771783077,Macmillan,Fiction,Arabic,C3-18,2019-08-06,2020-02-29
130,Chronicles of Future,Daniel Bello,Mystery,2007,35,20,369-2853466909,HarperCollins,Fiction,English,D4-20,2015-01-05,2015-09-08
131,Journey to Knowledge,Daniel Smith,Business,2023,45,35,948-7001129001,Penguin Random House,Non-Fiction,Swahili,H8-7,2023-06-23,2023-08-31
132,Rise of Knowledge,John Martins,Technology,2002,11,4,677-8489692884,Cambridge Press,Non-Fiction,Swahili,A1-16,2016-06-24,2017-04-13
133,Fall of Empire,Grace Mensah,History,2012,6,4,717-4422940823,Pearson,Non-Fiction,Arabic,H8-18,2023-05-20,2023-08-25
134,Beyond Destiny,John Okafor,Science Fiction,2008,25,17,329-5834624315,Hachette,Fiction,Arabic,F6-13,2024-07-04,2025-03-04
135,Rise of Future,John Martins,History,1998,23,12,495-5580784363,Macmillan,Non-Fiction,French,G7-14,2017-10-07,2018-02-06
136,Inside Shadow,Sophia Brown,Thriller,2018,41,6,878-1035372177,Penguin Random House,Fiction,English,B2-17,2020-06-22,2020-07-01
137,Beyond Destiny,John Johnson,Science Fiction,2003,40,25,497-9520421234,Cambridge Press,Fiction,Arabic,G7-13,2015-10-28,2016-02-22
138,Legacy of Stars,Michael Bello,Science Fiction,2005,38,12,940-4462182118,Scholastic,Fiction,Swahili,B2-8,2022-12-08,2023-06-03
139,Journey to Mind,Michael Adeyemi,Biography,2008,7,6,122-4913400034,HarperCollins,Non-Fiction,Arabic,G7-1,2018-06-30,2019-03-25
140,Inside Innovation,David Smith,Technology,2006,11,8,387-4409286577,Cambridge Press,Non-Fiction,Swahili,D4-5,2024-10-10,2024-11-23
141,Beyond Future,Michael Johnson,Self-Help,2019,34,7,130-7835599415,Pearson,Non-Fiction,Swahili,F6-13,2015-06-25,2016-04-23
142,The Empire,Daniel Okafor,Technology,2000,24,18,457-6544575956,HarperCollins,Non-Fiction,French,D4-5,2024-12-28,2025-04-27
143,Journey to Destiny,Grace Adeyemi,Biography,2007,36,6,916-1542413383,Macmillan,Non-Fiction,English,B2-10,2021-11-08,2021-11-26
144,Fall of Mind,Sophia Johnson,Science Fiction,2015,14,6,850-6308813809,Macmillan,Fiction,Swahili,D4-6,2018-09-29,2018-11-15
145,The Future,James Okafor,Fantasy,2021,38,36,393-5068323252,Scholastic,Fiction,English,F6-7,2020-05-27,2020-09-05
146,The Empire,James Johnson,Business,2002,16,16,965-9440969258,Macmillan,Non-Fiction,French,A1-8,2016-10-24,2017-04-21
147,Chronicles of Innovation,Fatima Adeyemi,Biography,1997,19,13,243-2653785389,Penguin Random House,Non-Fiction,English,D4-9,2021-10-11,2022-09-23
148,Rise of Dreams,Michael Garcia,Technology,2010,33,12,940-2136782397,Cambridge Press,Non-Fiction,French,C3-14,2024-08-02,2024-10-04
149,Return of Shadow,David Mensah,Romance,2001,36,35,912-9732791308,Hachette,Fiction,Swahili,C3-16,2024-01-09,2024-10-11
150,Legacy of Innovation,Linda Brown,Thriller,2024,15,8,410-4355057730,HarperCollins,Fiction,Arabic,F6-4,2016-06-16,2017-05-18
151,Return of Knowledge,Michael Smith,Business,2021,50,46,318-8184207824,Scholastic,Non-Fiction,English,B2-7,2018-03-18,2018-08-22
152,Legacy of Destiny,Linda Brown,Business,2015,21,8,761-6124169689,HarperCollins,Non-Fiction,Swahili,E5-9,2024-05-14,2024-12-23
153,Secrets of Shadow,John Mensah,Science Fiction,1997,27,27,748-3085129237,Hachette,Fiction,Arabic,B2-3,2022-08-25,2023-03-25
154,Journey to Innovation,Amina Johnson,Romance,2012,8,6,160-2024534352,Oxford Press,Fiction,Arabic,G7-6,2015-03-19,2015-12-13
155,Fall of Empire,Daniel Smith,Thriller,1999,27,24,565-3703650390,Cambridge Press,Fiction,Swahili,D4-19,2021-02-12,2021-06-12
156,Inside Knowledge,Sophia Garcia,Science Fiction,2015,15,5,665-8266778745,Scholastic,Fiction,Swahili,E5-6,2024-09-19,2025-08-17
157,Rise of Stars,Fatima Martins,Business,2020,17,12,265-6558496721,Scholastic,Non-Fiction,English,G7-11,2018-09-15,2018-12-13
158,Inside Innovation,Grace Smith,Technology,2018,27,6,491-3603664187,Cambridge Press,Non-Fiction,French,E5-12,2018-03-25,2019-02-15
159,Fall of Dreams,Amina Mensah,Business,2024,34,19,498-3028156646,Pearson,Non-Fiction,Arabic,C3-12,2018-01-08,2018-02-06
160,Secrets of Power,Fatima Bello,Mystery,2006,43,30,999-5579568122,Hachette,Fiction,French,G7-3,2019-11-03,2020-06-18
161,Beyond Power,Sophia Brown,Biography,2002,46,28,770-4904720883,Oxford Press,Non-Fiction,Arabic,A1-6,2020-04-16,2021-01-08
162,Rise of Shadow,Michael Johnson,Science Fiction,2008,50,36,928-7298504992,Macmillan,Fiction,Arabic,C3-16,2021-12-24,2022-10-15
163,Secrets of Innovation,James Smith,Self-Help,2011,45,17,311-2298376452,Hachette,Non-Fiction,English,A1-9,2019-09-21,2020-06-27
164,Beyond Knowledge,Michael Smith,Romance,2013,42,15,664-6054045839,Cambridge Press,Fiction,Swahili,A1-8,2022-04-24,2022-12-22
165,Fall of Power,John Williams,Mystery,2004,49,31,917-2723646145,Oxford Press,Fiction,French,E5-20,2024-05-16,2024-05-18
166,Rise of Empire,Sophia Johnson,Biography,2016,8,4,384-6199113473,Penguin Random House,Non-Fiction,French,F6-18,2016-07-24,2016-10-14
167,Journey to Destiny,David Adeyemi,Biography,2017,8,8,965-3377247345,Cambridge Press,Non-Fiction,French,C3-14,2020-09-07,2021-04-20
168,Journey to Knowledge,Fatima Brown,Fantasy,2007,8,6,501-8499633444,Oxford Press,Fiction,Swahili,F6-12,2015-08-29,2016-08-21
169,Fall of Dreams,Linda Smith,Business,2011,38,27,437-8323172865,Cambridge Press,Non-Fiction,Swahili,D4-15,2020-09-30,2021-02-28
170,Inside Stars,Sophia Williams,Thriller,2002,16,8,163-4400508381,Oxford Press,Fiction,Arabic,H8-4,2024-02-01,2024-10-29
171,Return of Mind,Amina Williams,History,2019,47,31,635-7256832098,Pearson,Non-Fiction,French,B2-14,2015-12-13,2016-07-22
172,Secrets of Knowledge,Daniel Bello,Biography,2011,22,12,117-5132084029,Oxford Press,Non-Fiction,French,B2-3,2016-06-10,2017-02-19
173,Inside Shadow,David Garcia,Mystery,2023,46,42,328-2040441253,HarperCollins,Fiction,Swahili,C3-9,2019-01-30,2019-03-06
174,Fall of Knowledge,Daniel Adeyemi,Thriller,2005,24,9,553-3237278441,Hachette,Fiction,Swahili,B2-13,2016-06-19,2016-09-27
175,Journey to Dreams,Daniel Okafor,History,1995,26,4,432-9577174252,Scholastic,Non-Fiction,Arabic,B2-15,2016-08-11,2016-08-18
176,Inside Mind,Linda Bello,Biography,2003,25,10,792-1487433366,Cambridge Press,Non-Fiction,French,G7-12,2024-07-22,2024-07-29
177,Inside Power,Grace Garcia,Technology,2000,45,25,746-5995959286,Hachette,Non-Fiction,Swahili,D4-14,2019-10-07,2020-07-30
178,Return of Shadow,Fatima Brown,Technology,2002,26,24,605-3901236552,Scholastic,Non-Fiction,Arabic,B2-4,2017-07-11,2018-01-25
179,Chronicles of Dreams,Linda Johnson,Self-Help,2005,43,25,902-4706893759,Macmillan,Non-Fiction,Swahili,B2-9,2018-04-11,2018-09-24
180,Beyond Empire,Grace Adeyemi,Thriller,2002,13,11,776-3152706667,Oxford Press,Fiction,French,C3-10,2016-11-21,2017-10-25
181,Inside Empire,Daniel Johnson,Self-Help,2010,44,10,487-4034879840,Hachette,Non-Fiction,French,C3-6,2019-05-13,2020-04-17
182,Rise of Mind,Linda Johnson,Self-Help,1997,13,12,409-3381044989,Penguin Random House,Non-Fiction,English,F6-10,2022-09-09,2023-04-08
183,Fall of Empire,Daniel Brown,Technology,2001,30,23,324-6852688786,Oxford Press,Non-Fiction,Arabic,B2-8,2016-09-17,2017-07-28
184,Inside Future,Amina Johnson,Mystery,2022,27,4,308-5607243186,Hachette,Fiction,French,E5-7,2023-05-26,2023-12-30
185,Secrets of Innovation,Michael Williams,Thriller,2014,11,9,580-7091553179,Penguin Random House,Fiction,French,C3-4,2015-12-01,2016-07-06
186,Rise of Destiny,Linda Johnson,Thriller,1996,36,31,965-2471726381,Cambridge Press,Fiction,Swahili,E5-15,2017-03-31,2017-08-12
187,Rise of Shadow,Fatima Brown,Science Fiction,2001,49,44,882-8762965971,HarperCollins,Fiction,French,B2-1,2017-04-14,2018-02-12
188,Inside Destiny,Daniel Bello,Thriller,2017,6,6,978-6718931697,Macmillan,Fiction,English,F6-15,2022-12-15,2023-05-31
189,Return of Power,Sophia Martins,Fantasy,2022,29,29,385-1167954766,Cambridge Press,Fiction,English,D4-10,2023-10-11,2024-03-23
190,The Innovation,David Bello,Technology,2024,18,15,407-4690858042,HarperCollins,Non-Fiction,Swahili,C3-14,2017-07-07,2017-12-22
191,Journey to Dreams,Michael Martins,Thriller,2024,22,7,677-4129457192,Penguin Random House,Fiction,English,C3-20,2023-04-07,2023-11-14
192,Legacy of Innovation,Fatima Smith,Technology,2005,43,17,269-8739340991,Cambridge Press,Non-Fiction,French,H8-15,2017-05-17,2017-07-06
